full_path,relative_path,folder,extension,size_bytes,created_at,modified_at,line_count,include_count,declare_count,type_count,function_count,sub_count,const_count,first_nonempty,content_info
C:\Users\mete\Downloads\1\UXMv33\Emekliler\_UXM_EMEKLI\samples\sample_c64.bas,1\UXMv33\Emekliler\_UXM_EMEKLI\samples\sample_c64.bas,C:\Users\mete\Downloads\1\UXMv33\Emekliler\_UXM_EMEKLI\samples,.bas,58,2026-05-10 00:34:22,2026-05-10 03:49:12,3,0,0,0,0,0,0,"10 PRINT ""HELLO C64""",include=0; declare=0; type=0; function=0; sub=0; const=0
C:\Users\mete\Downloads\1\UXMv33\Emekliler\_UXM_EMEKLI\samples\sample_qbasic.bas,1\UXMv33\Emekliler\_UXM_EMEKLI\samples\sample_qbasic.bas,C:\Users\mete\Downloads\1\UXMv33\Emekliler\_UXM_EMEKLI\samples,.bas,93,2026-05-10 00:34:22,2026-05-10 03:49:12,6,0,0,0,0,0,0,10 CLS,include=0; declare=0; type=0; function=0; sub=0; const=0
C:\Users\mete\Downloads\1\UXMv33\guncel_src\uxm\core\compiler\native\native_cli.bas,1\UXMv33\guncel_src\uxm\core\compiler\native\native_cli.bas,C:\Users\mete\Downloads\1\UXMv33\guncel_src\uxm\core\compiler\native,.bas,9814,2026-05-10 15:50:40,2026-05-10 22:25:38,272,0,0,0,4,4,0,' Auto-split by V3 modularization,include=0; declare=0; type=0; function=4; sub=4; const=0
C:\Users\mete\Downloads\1\UXMv33\guncel_src\uxm\core\compiler\native\uxm31_compiler_fb.bas,1\UXMv33\guncel_src\uxm\core\compiler\native\uxm31_compiler_fb.bas,C:\Users\mete\Downloads\1\UXMv33\guncel_src\uxm\core\compiler\native,.bas,8807,2026-05-10 13:56:26,2026-05-10 22:25:38,210,9,59,0,0,0,75,"#Lang ""fb""",include=9; declare=59; type=0; function=0; sub=0; const=75
C:\Users\mete\Downloads\1\UXMv33\guncel_src\uxm\core\runtime\runtime_memory.bas,1\UXMv33\guncel_src\uxm\core\runtime\runtime_memory.bas,C:\Users\mete\Downloads\1\UXMv33\guncel_src\uxm\core\runtime,.bas,8352,2026-05-10 13:56:26,2026-05-10 22:25:38,365,0,0,0,19,11,0,' Auto-split by V3 modularization,include=0; declare=0; type=0; function=19; sub=11; const=0
C:\Users\mete\Downloads\1\UXMv33\guncel_src\uxm\core\runtime\uxm31_runtime_fb_full.bas,1\UXMv33\guncel_src\uxm\core\runtime\uxm31_runtime_fb_full.bas,C:\Users\mete\Downloads\1\UXMv33\guncel_src\uxm\core\runtime,.bas,8530,2026-05-10 14:28:46,2026-05-10 22:25:38,170,21,100,0,0,0,28,"#Lang ""fb""",include=21; declare=100; type=0; function=0; sub=0; const=28
C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\runtime_meta_dispatch.bas,1\UXMv33\onceki_src\runtime\runtime_meta_dispatch.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime,.bas,15575,2026-05-10 20:34:08,2026-05-11 01:23:50,714,3,0,0,0,8,0,' Auto-split by V3 modularization,include=3; declare=0; type=0; function=0; sub=8; const=0
C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,1\UXMv33\onceki_src\runtime\hooks\runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\hooks,.bas,14038,2026-05-10 20:34:08,2026-05-11 01:23:52,299,0,0,0,9,2,2,#ifndef UXM_RUNTIME_HOOK_DISPATCH_EXT_BAS,include=0; declare=0; type=0; function=9; sub=2; const=2
C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\services\runtime_file_services.bas,1\UXMv33\onceki_src\runtime\services\runtime_file_services.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\services,.bas,11230,2026-05-10 20:34:08,2026-05-11 01:23:50,419,0,0,0,5,18,6,#ifndef UXM_RUNTIME_FILE_SERVICES_BAS,include=0; declare=0; type=0; function=5; sub=18; const=6
C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\services\runtime_matrix_services.bas,1\UXMv33\onceki_src\runtime\services\runtime_matrix_services.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\services,.bas,16974,2026-05-10 20:34:08,2026-05-11 01:23:50,579,0,27,0,12,16,0,' UX-MAT V1 runtime services for uxm31_runtime_fb_full.bas,include=0; declare=27; type=0; function=12; sub=16; const=0
C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\services\runtime_statistics_services.bas,1\UXMv33\onceki_src\runtime\services\runtime_statistics_services.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\runtime\services,.bas,20485,2026-05-10 20:34:08,2026-05-11 01:23:52,500,0,0,0,18,5,2,#ifndef UXM_RUNTIME_STATISTICS_SERVICES_BAS,include=0; declare=0; type=0; function=18; sub=5; const=2
C:\Users\mete\Downloads\1\UXMv33\onceki_src\uxm\core\compiler\native\native_cli.bas,1\UXMv33\onceki_src\uxm\core\compiler\native\native_cli.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\uxm\core\compiler\native,.bas,9101,2026-05-10 17:17:20,2026-05-10 22:25:38,255,0,0,0,4,4,0,' Auto-split by V3 modularization,include=0; declare=0; type=0; function=4; sub=4; const=0
C:\Users\mete\Downloads\1\UXMv33\onceki_src\uxm\core\compiler\native\uxm31_compiler_fb.bas,1\UXMv33\onceki_src\uxm\core\compiler\native\uxm31_compiler_fb.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\uxm\core\compiler\native,.bas,8791,2026-05-10 17:17:20,2026-05-10 22:25:38,210,9,59,0,0,0,75,"#Lang ""fb""",include=9; declare=59; type=0; function=0; sub=0; const=75
C:\Users\mete\Downloads\1\UXMv33\onceki_src\uxm\core\runtime\runtime_memory.bas,1\UXMv33\onceki_src\uxm\core\runtime\runtime_memory.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\uxm\core\runtime,.bas,7924,2026-05-10 17:17:20,2026-05-10 22:25:38,358,0,0,0,19,11,0,' Auto-split by V3 modularization,include=0; declare=0; type=0; function=19; sub=11; const=0
C:\Users\mete\Downloads\1\UXMv33\onceki_src\uxm\core\runtime\uxm31_runtime_fb_full.bas,1\UXMv33\onceki_src\uxm\core\runtime\uxm31_runtime_fb_full.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\uxm\core\runtime,.bas,8442,2026-05-10 17:17:20,2026-05-10 22:25:38,169,21,100,0,0,0,27,"#Lang ""fb""",include=21; declare=100; type=0; function=0; sub=0; const=27
C:\Users\mete\Downloads\1\UXMv33\onceki_src\v17\uxm__core__runtime__hooks__runtime_hook_dispatch_ext.bas,1\UXMv33\onceki_src\v17\uxm__core__runtime__hooks__runtime_hook_dispatch_ext.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\v17,.bas,262,2026-05-08 16:35:10,2026-05-11 02:27:05,7,0,0,0,1,0,0,#ifndef UXM_RUNTIME_HOOK_DISPATCH_EXT_BAS,include=0; declare=0; type=0; function=1; sub=0; const=0
C:\Users\mete\Downloads\1\UXMv33\onceki_src\v17\uxm__core__runtime__services__runtime_file_services.bas,1\UXMv33\onceki_src\v17\uxm__core__runtime__services__runtime_file_services.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\v17,.bas,11230,2026-05-08 16:35:10,2026-05-11 02:27:04,419,0,0,0,5,18,6,#ifndef UXM_RUNTIME_FILE_SERVICES_BAS,include=0; declare=0; type=0; function=5; sub=18; const=6
C:\Users\mete\Downloads\1\UXMv33\onceki_src\v17\uxm__core__runtime__services__runtime_matrix_services.bas,1\UXMv33\onceki_src\v17\uxm__core__runtime__services__runtime_matrix_services.bas,C:\Users\mete\Downloads\1\UXMv33\onceki_src\v17,.bas,16974,2026-05-08 16:35:10,2026-05-11 02:27:04,579,0,27,0,12,16,0,' UX-MAT V1 runtime services for uxm31_runtime_fb_full.bas,include=0; declare=27; type=0; function=12; sub=16; const=0
